Movie Title,Year,Score,Adjusted Score,Director,Synopsis,Cast,Consensus
Surge,2020,77,78778.0,Aneil Karia," Joseph (Ben Whishaw) is trapped in a soulless job, living a life devoid of emotion and meaning. After an impulsive...","Ben Whishaw, Ellie Haddington, Ian Gelder, Jasmine Jobson",No consensus yet.
WeWork: Or the Making and Breaking of a $47 Billion Unicorn,2021,77,78512.0,Jed Rothstein, WeWork: or The Making and Breaking of a $47 Billion Unicorn is a feature documentary that explores the rise and...,Adam Neumann,"It's hard to ignore the parts that are left unexamined, but"
Stowaway,2021,77,82396.0,Joe Penna, A three-person crew on a mission to Mars faces an impossible choice when an unplanned passenger jeopardizes the lives of...,"Anna Kendrick, Daniel Dae Kim, Toni Collette, Shamier Anderson",Pacing problems prevent
Shadow in the Cloud,2020,77,83728.0,Roseanne Liang," In the throes of World War II, Captain Maude Garrett (CHLOÃ GRACE MORETZ) joins the all-male crew of a B-17...","ChloÃ« Grace Moretz, Nick Robinson, Beulah Koale, Taylor John Smith","Part creature feature, part war movie, and part social commentary,"
Small Engine Repair,2021,78,79074.0,John Pollono," Frankie (John Pollono), Swaino (Jon Bernthal) and Packie (Shea Wigham) are lifelong friends who share a love of the Red...","John Pollono, Jon Bernthal, Shea Whigham, Ciara Bravo",No consensus yet.
Bad Trip,2021,78,80494.0,Kitao Sakurai, Hidden cameras capture two best friends pulling hilarious and inventive pranks on an unsuspecting public....,"Eric AndrÃ©, Lil Rel Howery, Tiffany Haddish, Michaela Conlin",No consensus yet.
The Water Man,2020,78,81587.0,David Oyelowo, Gunner (Lonnie Chavis) sets out on a quest to save his ill mother (Rosario Dawson) by searching for a mythic...,"David Oyelowo, Rosario Dawson, Lonnie Chavis, Amiah Miller",No consensus yet.
I Care a Lot,2020,78,90550.0,J Blakeson," Poised with sharklike self-assurance, Marla Grayson (Academy Award nominee Rosamund Pike) is a professional, court-appointed guardian for dozens of elderly...","Rosamund Pike, Peter Dinklage, Eiza GonzÃ¡lez, Dianne Wiest",No consensus yet.
The Night,2020,79,81887.0,Kourosh Ahari," After a night out with friends, an exhausted married couple, Babak (Shahab Hosseini), Neda (Niousha Noor) and their baby take...","Shahab Hosseini, Niousha Noor, Leah Oganyan, Kathreen Khavari",The dramatic heft and dread of
To All the Boys: Always and Forever,2021,79,81401.0,Michael Fimognari, Senior year of high school takes center stage as Lara Jean returns from a family trip to Korea and considers...,"Lana Condor, Noah Centineo, Janel Parrish, Madeleine Arthur",No consensus yet.
Everybody's Talking About Jamie,2021,79,82643.0,Jonathan Butterell," Inspired by true events, Everybody's Talking About Jamie follows Jamie New (Max Harwood), a teenager from Sheffield, who dreams of...","Max Harwood, Sarah Lancashire, Lauren Patel, Shobna Gulati","It may not be as effervescent as its title character, but"
In The Earth,2021,79,87243.0,Ben Wheatley," As the world searches for a cure to a disastrous virus, a scientist and park scout venture deep in the...","Joel Fry, Reece Shearsmith, Hayley Squires, Ellora Torchia",No consensus yet.
Black Widow,2021,79,105044.0,Cate Shortland," Natasha Romanoff, aka Black Widow, confronts the darker parts of her ledger when a dangerous conspiracy with ties to her...","Scarlett Johansson, Florence Pugh, David Harbour, Rachel Weisz",No consensus yet.
Safety,2020,80,82000.0,Reginald Hudlin," âSafetyâ is a drama inspired by the empowering story of former Clemson University football safety Ray McElrathbey (Jay Reeves), a...","Jay Reeves, Thaddeus J. Mixson, Corinne Foxx, Matthew Glave",No consensus yet.
Cliff Walkers,2021,80,81884.0,Zhang Yimou," Based on the script by Quan Yongxian, CLIFF WALKERS is director Zhang Yimou's first foray into the spy genre. Set...","Zhang Yi, Yu Hewei, Qin Hailu","Stylish and exciting,"
Bloodthirsty,2020,80,82122.0,Amelia Moses," Grey, an indie singer, whose first album was a smash hit, gets an invitation to work with notorious music producer...","Lauren Beatty, Greg Bryk, Katharine King So, Judith Buchan",No consensus yet.
Fried Barry,2020,80,81699.0,Ryan Kruger, Aliens take over the body of a drug addict and take it for a joyride through Cape Town....,"Gary Green, Chanelle De Jager, Brett Williams, Joey Cramer","A bizarrely memorable sci-fi/comedy hybrid,"
Knocking,2021,80,83151.0,Frida Kempff," After suffering a traumatic incident, Molly (Cecilia Milocco) moves into a new apartment to begin her path to recovery, but...","Cecilia Milocco, Ville Virtanen, Meliz Karlge, Albin Grenholm",No consensus yet.
The Columnist,2020,80,82966.0,Ivo van Aart, Femke Boot (Katja Herbers) is a columnist who is obsessed with reading the endless abusive messages and death threats posted...,"Katja Herbers, Genio de Groot, Rein Hofman, Bram van der Kelen",No consensus yet.
Summer of 85,2020,80,83910.0,FranÃ§ois Ozon," When Alexis capsizes off the coast of France, David comes to the rescue and opens his eyes to a new...","FÃ©lix Lefebvre, Benjamin Voisin, Philippine Velge, Valeria Bruni Tedeschi","While not FranÃ§ois Ozon's best work,"
Concrete Cowboy,2020,80,86649.0,Ricky Staub," Sent to live with his estranged father for the summer, a rebellious teen finds kinship in a tight-knit Philadelphia community...","Idris Elba, Caleb McLaughlin, Jharrel Jerome, Lorraine Toussaint","Well-acted and solidly directed,"
Barb & Star Go to Vista Del Mar,2021,80,89675.0,Josh Greenbaum, Take a trip and break out of your shell with Barb and Star. From the gals who brought you Bridesmaids...,"Kristen Wiig, Annie Mumolo, Jamie Dornan, Damon Wayans Jr.",No consensus yet.
Free Guy,2021,80,96520.0,Shawn Levy," In ""Free Guy,"" a bank teller who discovers he is actually a background player in an open-world video game, decides...","Ryan Reynolds, Jodie Comer, Joe Keery, Lil Rel Howery","Combining a clever concept, sweet, self-aware humor, and a charming cast,"
The Most Beautiful Boy in the World,2021,81,83016.0,Kristina LindstrÃ¶m," In 1971at the world premiere of Death in Venice in London, Italian director Luchino Visconti proclaimed BjÃ¶rn AndrÃ©sen, the teen...",BjÃ¶rn Andresen,No consensus yet.
Copshop,2021,82,86477.0,Joe Carnahan," On the run from a lethal assassin, a wily con artist devises a scheme to hide out inside a small-town...","Gerard Butler, Frank Grillo, Alexis Louder, Toby Huss","It doesn't add many new ingredients to the genre, but action fans in the mood for an old-school thriller will be happy to buy what"
Dementer,2019,83,82436.0,Chad Crawford Kinkle," The film follows Katie, a young woman who flees a backwoods cult and takes a job at a care center...","Katie Groshong, Stephanie Kinkle, Brandy Edmiston, Larry Fessenden",No consensus yet.
Das Vorspiel,2020,83,84002.0,Ina Weisse, ...,Nina Hoss,"It may occasionally veer into discordant territory, but"
Misha and the Wolves,2021,83,84639.0,Sam Hobkinson," A woman's dramatic memoir of surviving the Holocaust takes the world by storm, until a falling-out causes her publisher to...",,No consensus yet.
Caveat,2020,83,83884.0,Damian Mc Carthy," When a lone drifter with partial memory loss, Isaac, accepts a job to look after his landlord's niece, Olga, for...","Ben Caplan, Conor Dwane, Jonathan French, Leila Sykes","An effective spine-tingler despite clear budget constraints,"
Boys from County Hell,2020,83,84644.0,Chris Baugh, Strange events unfold in Six Mile Hill -- a sleepy Irish town that claims to have been traveled by the...,"Jack Rowan, Nigel O'Neill, Louisa Harland, Michael Hough",No consensus yet.
Gaia,2021,83,85767.0,Jaco Bouwer, An injured forest ranger on a routine mission is saved by two off-the-grid survivalists. What is initially a welcome rescue...,"Monique Rockman, Carel Nel, Anthony Oseyemi, Alex van Dyk",No consensus yet.
Fear Street Part One: 1994,2021,83,88679.0,Leigh Janiak," After a series of brutal slayings, a teen and her friends take on an evil force that's plagued their notorious...","Kiana Madeira, Olivia Welch, Benjamin Flores Jr., Julia Rehwald",
Nobody,2021,83,99031.0,Ilya Naishuller," Emmy winner Bob Odenkirk (Better Call Saul, The Post, Nebraska) stars as Hutch Mansell, an underestimated and overlooked dad and...","Bob Odenkirk, Connie Nielsen, Alexey Serebryakov, Christopher Lloyd",
Akilla's Escape,2020,84,84696.0,Charles Officer, A drug dealer finds his moral code challenged when he interrupts an armed robbery and captures one of the gang...,"Saul Williams, Thamela Mpumlwana, Donisha Rita Claire Prendergast, Vic Mensa",
Port Authority,2019,84,84697.0,Danielle Lessovitz," After getting kicked out of his home in central Pennsylvania, Paul (Fionn Whitehead) arrives to NYC's dizzying central station with...","Fionn Whitehead, Leyna Bloom, McCaul Lombardi, Louisa Krause",Although
The Power,2021,84,85435.0,Corinna Faith," London, 1974. As Britain prepares for electrical blackouts to sweep across the country, trainee nurse Val (Rose Williams) arrives for...",Theo Barklem-Biggs,No consensus yet.
Dune,2021,84,103481.0,Denis Villeneuve," Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the...","TimothÃ©e Chalamet, Rebecca Ferguson, Oscar Isaac, Josh Brolin",
No Time to Die,2021,84,103604.0,Cary Joji Fukunaga," In No Time To Die, Bond has left active service and is enjoying a tranquil life in Jamaica. His peace...","Daniel Craig, Rami Malek, LÃ©a Seydoux, Lashana Lynch","It isn't the sleekest or most daring 007 adventure, but"
The Last Duel,2021,85,97988.0,Ridley Scott, The Last Duel is a cinematic and thought-provoking drama set in the midst of the Hundred Years War that explores...,"Matt Damon, Adam Driver, Jodie Comer, Ben Affleck",
Homeroom,2021,86,87767.0,Peter Nicks," In ""Homeroom,"" Oakland High School's class of 2020 confronts an unprecedented year. Anxiety over test scores and college applications gives...","Denilson Garibo, Libby Schaaf",No consensus yet.
The Mad Women's Ball,2021,86,88198.0,MÃ©lanie Laurent, A committed woman and a tormented nurse prepare to attend a famous ball at a neurological clinic in the 19th...,"MÃ©lanie Laurent, Lou de LaÃ¢ge, Emmanuelle Bercot, Benjamin Voisin","Its themes are occasionally undercut by its storytelling, but outstanding performances give"
The Harder They Fall,2021,86,89996.0,Jeymes Samuel, When outlaw Nat Love (Jonathan Majors) discovers that his enemy Rufus Buck (Idris Elba) is being released from prison he...,"Jonathan Majors, Zazie Beetz, Delroy Lindo, LaKeith Stanfield","It isn't as bold and fearless as its characters, but"
Come True,2020,86,90370.0,Anthony Scott Burns," Looking for an escape from her recurring nightmares, 18-year-old Sarah (Julia Sarah Stone) submits to a university sleep study, but...","Julia Sarah Stone, Landon Liboiron, Carlee Ryski, Christopher Heatherington",No consensus yet.
Jakob's Wife,2021,86,89707.0,Travis Stevens, Anne is married to a small-town minister and feels like her life and marriage have been shrinking over the past...,"Barbara Crampton, Larry Fessenden, Bonnie Aarons, Nyisha Bell",
Passing,2021,85,90307.0,Rebecca Hall," In 1920s New York City, a Black woman finds her world upended when her life becomes intertwined with a former...","Tessa Thompson, Ruth Negga, AndrÃ© Holland, Alexander SkarsgÃ¥rd",While
Vivo,2021,86,90910.0,Kirk DeMicco, From Netflix and Sony Pictures AnimaFrom Netflix and Sony Pictures Animation -- the studio that brought you Oscar winner Spider-Man:...,"Lin-Manuel Miranda, Zoe Saldana, Juan de Marcos, Brian Tyree Henry",
Bergman Island,2021,86,90163.0,Mia Hansen-LÃ¸ve," BERGMAN ISLAND follows a couple of American filmmakers, Chris (Vicky Krieps) and Tony (Tim Roth), who retreat to the mythical...","Mia Wasikowska, Tim Roth, Vicky Krieps, Anders Danielsen Lie","Minor but charming, the well-acted"
Werewolves Within,2021,86,92678.0,Josh Ruben," After a proposed pipeline creates divisions within the small town of Beaverfield, and a snowstorm traps its residents together inside...","Sam Richardson, Milana Vayntrub, George Basil, Sarah Burns",No consensus yet.
The Card Counter,2020,86,93808.0,Paul Schrader," Redemption is the long game in Paul Schrader's THE CARD COUNTER. Told with Schrader's trademark cinematic intensity, the revenge thriller...","Oscar Isaac, Tiffany Haddish, Tye Sheridan, Willem Dafoe","Led by Oscar Isaac's gripping performance,"
The Night House,2020,86,97306.0,David Bruckner," Reeling from the unexpected death of her husband, Beth (Rebecca Hall) is left alone in the lakeside home he built...","Rebecca Hall, Sarah Goldberg, Vondie Curtis-Hall, Evan Jonigkeit","Led by Rebecca Hall's gripping central performance,"
The Courier,2020,86,97517.0,Dominic Cooke," THE COURIER is a true-life spy thriller, the story of an unassuming British businessman Greville Wynne (Benedict Cumberbatch) recruited into...","Benedict Cumberbatch, Merab Ninidze, Vladimir Chuprikov, James Schofield",No consensus yet.
Wife of a Spy,2020,87,88955.0,Kiyoshi Kurosawa," The year is 1940 in Kobe, on the eve of the outbreak of World War II. Local merchant and amateur...","YÃ» Aoi, Issey Takahashi, Masahiro Higashide, Ryota Bando",No consensus yet.
The Djinn,2021,87,89308.0,David Charbonier, A mute boy becomes trapped in his apartment with a sinister monster after making a wish to fulfill his heart's...,"Ezra Dewey, Rob Brownstein, Tevy Poe, Donald Pitts",No consensus yet.
Keep an Eye Out,2018,88,89786.0,Quentin Dupieux, An absurd all-night interrogation takes place in a 1970s police station....,"BenoÃ®t Poelvoorde, GrÃ©goire Ludig, Marc Fraize, AnaÃ¯s Demoustier",No consensus yet.
Operation Varsity Blues: The College Admissions Scandal,2021,88,90185.0,Chris Smith, Reenactments tell the story of the mastermind behind a scam to get children from wealthy families into the top American...,Matthew Modine,No consensus yet.
Preparations to be Together for an Unknown Period of Time,2021,88,89574.0,Lili Horvath, A neurosurgeon returns to Budapest to reunite with the love of her life: a man who says they have never...,"Natasa Stork, Viktor BodÃ³, Benett VilmÃ¡nyi, Zsolt Nagy","Its title may be unwieldy, but"
Oxygen,2021,88,92957.0,Alexandre Aja, Oxygen is a French survival thriller directed by Alexandre Aja. The film tells the story of a young woman (MÃ©lanie...,"MÃ©lanie Laurent, Mathieu Amalric, Malik Zidi, Marc Saez",
Violation,2021,88,92220.0,Dusty Mancinelli," With her marriage about to implode, Miriam returns to her hometown to seek solace in the comfort of her younger...","Madeleine Sims-Fewer, Anna Maguire, Jesse LaVercombe, Obi Abili",No consensus yet.
Fear Street Part Two: 1978,2021,88,92647.0,Leigh Janiak, A summer of fun turns into a gruesome fight for survival as a killer terrorizes Camp Nightwing in the cursed...,"Sadie Sink, Emily Rudd, Ryan Simpkins, McCabe Slye","A smart and subversive twist on slasher horror,"
Dream Horse,2020,88,94945.0,Euros Lyn," The film tells the inspiring true story of Dream Alliance, an unlikely race horse bred by small town bartender, Jan...","Toni Collette, Damian Lewis, Owen Teale, Joanna Page","Spurred on by an excellent Toni Collette,"
Nine Days,2020,88,95991.0,Edson Oda, A man interviews five unborn souls to determine which one can be given life on Earth....,"Winston Duke, Zazie Beetz, Bill SkarsgÃ¥rd, Benedict Wong",No consensus yet.
Titane,2021,88,95680.0,Julia Ducournau," Titane: A metal highly resistant to heat and corrosion, with high tensile strength alloys, often used in medical prostheses due...","Agathe Rousselle, Vincent Lindon, Garance Marillier, Lais Salameh","Thrillingly provocative and original,"
Zola,2020,88,101022.0,Janicza Bravo," ""Y'all wanna hear a story about why me & this bitch here fell out? It's kind of long but full...","Taylour Paige, Riley Keough, Nicholas Braun, Colman Domingo",
The Green Knight,2021,88,103659.0,David Lowery," An epic fantasy adventure based on the timeless Arthurian legend, THE GREEN KNIGHT tells the story of Sir Gawain (Dev...","Dev Patel, Alicia Vikander, Joel Edgerton, Sarita Choudhury",No consensus yet.
"Anne at 13,000 ft",2019,89,90198.0,Kazik Radwanski," Anne hasn't been the same since the jump. While skydiving for her best friend Sara's bachelorette party, the 27-year-old felt...","Deragh Campbell, Matt Johnson, Dorothea Paas, Lawrene Denkers",No consensus yet.
Ailey,2021,89,90888.0,Jamila Wignot, Alvin Ailey was a trailblazing pioneer who found salvation through dance. AILEY traces the full contours of this brilliant and...,Alvin Ailey American Dance Theater,
The Dry,2021,89,93318.0,Robert Connolly, A federal agent investigates the decades-old death of a teenage girl in his drought-stricken hometown....,Julia Blake,No consensus yet.
Undine,2020,89,95275.0,Christian Petzold," Christian Petzold (PHOENIX, TRANSIT) boldly reimagines the ancient myth of Undine in this suspenseful tale of romance and betrayal in...","Paula Beer, Franz Rogowski, Maryam Zaree, Jacob Matschenz",
Censor,2021,89,96433.0,Prano Bailey-Bond," Film censor Enid takes pride in her meticulous work, guarding unsuspecting audiences from the deleterious effects of watching the gore-filled...","Niamh Algar, Michael Smiley, Nicholas Burns, Vincent Franklin",No consensus yet.
The Stylist,2020,90,91508.0,Jill Gevargizian," We all dream of being someone else... but for Claire (Najarra Townsend, Contracted), that dream goes from an obsession to...","Brea Grant, Najarra Townsend, Millie Milan, Sarah McGuire","A slasher with flair and crafty patience for the kill,"
Les NÃ´tres,2020,90,91570.0,Jeanne Leblanc," To the tight-knit community of Sainte-Adeline, Quebec, Magalie appears as a normal suburban high school sophomore surrounded by friends. But...","Emilie Bierre, Marianne Farley, Judith Baribeau, Paul Doucet",
The Oak Room,2020,90,91633.0,Cody Calahan," While a drifter tries to settle an old debt with a grizzled bartender by telling him a story, the night's...","RJ Mitte, Peter Outerbridge, Ari Millen, Martin Roach",
The Queen of Black Magic,2020,90,91009.0,Gope T. Samtani," A family travels to the distant, rural orphanage where the father was raised to pay their respects to the facility's...","Miller Khan, Salvita Decorte, Muzakki Ramdhan, Imelda Therinne",
Beginning,2020,90,91080.0,Dea Kulumbegashvili, A missionary's life spirals out of control after extremists burn down a Jehovah's Witnesses church in a remote Georgian village....,"Ia Sukhitashvili, Rati Oneli, Kakha Kintsurashvili",No consensus yet.
I Blame Society,2020,90,91072.0,Gillian Wallace Horvat, The lines between art and real life begin to blur when an ambitious filmmaker realizes she's good at getting away...,"Gillian Wallace Horvat, Chase Williamson, Keith Poulson, Lucas Kavner",Spurts of dark humor gush out of
The Outside Story,2020,90,92135.0,Casimir Nozkowski," Brian Tyree Henry takes on his first big screen lead role as Charles Young, a broken-hearted video editor. Perceiving a...","Brian Tyree Henry, Sonequa Martin-Green, Sunita Mani, Olivia Edward","A refreshingly optimistic look at urban community life,"
Wild Indian,2021,90,91691.0,Lyle Mitchell Corbine Jr.," Decades after covering up his classmate's murder, Michael (Michael Greyeyes) has moved on from his reservation and fractured past. When...","Michael Greyeyes, Evan Assante, Kody Burns, Jesse Eisenberg",While
Moffie,2019,90,94903.0,Oliver Hermanus, The year is 1981 and South Africa's white minority government is embroiled in a conflict on the southern Angolan border....,"Kai Luke Brummer, Stefan Vermaak, Ryan De Villiers, Matthew Vey",No consensus yet.
The Vigil,2019,90,96022.0,Keith Thomas," Steeped in ancient Jewish lore and demonology, THE VIGIL is a supernatural horror film set over the course of a...","Dave Davis, Fred Melamed, Menashe Lustig, Malky Goldman","Consistently clever and creepy,"
Together Together,2021,90,98053.0,Nikole Beckwith," When young loner Anna is hired as the gestational surrogate for Matt, a single man in his 40s who wants...","Ed Helms, Patti Harrison, Tig Notaro, Julio Torres",No consensus yet.
The Suicide Squad,2021,90,110290.0,James Gunn," Welcome to hell--a.k.a. Belle Reve, the prison with the highest mortality rate in the US of A. Where the worst...","Margot Robbie, Idris Elba, John Cena, Viola Davis","Enlivened by writer-director James Gunn's singularly skewed vision,"
Promising Young Woman,2020,90,118470.0,Emerald Fennell," Nothing in Cassie's life is what it appears to be -- she's wickedly smart, tantalizingly cunning, and she's living a...","Carey Mulligan, Laverne Cox, Bo Burnham, Clancy Brown",No consensus yet.
True Mothers,2020,91,91704.0,Naomi Kawase, An adopted son's mother receives an unexpected visit from the boy's biological mother....,"Arata Iura, Hiromi Nagasaku, Aju Makita, Reo Sato",No consensus yet.
The Man Who Sold His Skin,2020,91,92821.0,Kaouther Ben Hania," Sam Ali, a young sensitive and impulsive Syrian, left his country for Lebanon to escape the war. To be able...","Yahya Mahayni, Monica Bellucci, Koen De Bouw, Marc De Panda",
Holler,2020,91,93137.0,Nicole Riegel," In a forgotten pocket of Southern Ohio where American manufacturing and opportunity are dying up, a determined young woman finds...","Jessica Barden, Pamela Adlon, Gus Halper, Austin Amelio","It's hard not to hear echoes of similarly desperate stories, but"
Little Fish,2020,91,93765.0,Chad Hartigan," Little Fish, the fourth feature film from director Chad Hartigan, is a romance set in a near-future Seattle teetering on...","Olivia Cooke, Jack O'Connell, Soko, RaÃºl Castillo","Tough but stirring,"
Roadrunner: A Film About Anthony Bourdain,2021,91,98697.0,Morgan Neville," It's not where you go. It's what you leave behind.... Chef, writer, adventurer, provocateur: Anthony Bourdain lived his life unabashedly....",Anthony Bourdain,"An emotionally raw and respectful portrait of Anthony Bourdain,"
Luca,2021,91,106794.0,Enrico Casarosa," Set in a beautiful seaside town on the Italian Riviera, Disney and Pixar's original feature film ""Luca"" is a coming-of-age...","Jacob Tremblay, Jack Dylan Grazer, Emma Berman, Maya Rudolph","Slight but suffused with infectious joy, the beguiling"
A Quiet Place Part II,2021,91,111709.0,John Krasinski," Following the deadly events at home, the Abbott family must now face the terrors of the outside world as they...","Emily Blunt, Cillian Murphy, Millicent Simmonds, Noah Jupe","A nerve-wracking continuation of its predecessor,"
Truman & Tennessee: An Intimate Conversation,2020,92,93081.0,Lisa Immordino Vreeland," The work, lives, and personal journeys of iconic American artists Truman Capote and Tennesee Williams coalesce with creative combustion in...","Zachary Quinto, Jim Parsons",No consensus yet.
Days of the Bagnold Summer,2019,92,94197.0,Simon Bird," Based on the critically acclaimed graphic novel, DAYS OF THE BAGNOLD SUMMER is a funny yet sweet coming-of-age story about...","Monica Dolan, Earl Cave, Rob Brydon, Elliot Speller-Gillott",
Coming Home in the Dark,2021,92,93762.0,James Ashcroft," A family's idyllic outing at an isolated coastline descends into terror when high school teacher Alan 'Hoaggie' Hoaganraad, his wife...","Daniel Gillies, Erik Thompson, Miriama McDowell, Matthias Luafutu","Smart, well-acted, and above all scary,"
Final Account,2020,92,93887.0,Luke Holland, FINAL ACCOUNT is an urgent portrait of the last living generation of everyday people to participate in Adolf Hitler's Third...,,
Mandibles,2020,92,93872.0,Quentin Dupieux, Two hapless losers discover a giant fly in the trunk of a stolen car and decide to domesticate it in...,"GrÃ©goire Ludig, David Marsais, AdÃ¨le Exarchopoulos, India Hair",
PG: Psycho Goreman,2020,92,95219.0,Steven Kostanski, Siblings Mimi and Luke unwittingly resurrect an ancient alien overlord who was entombed on Earth millions of years ago after...,"Nita-Josee Hanna, Owen Myre, Adam Brooks, Alexis Hancey",No consensus yet.
Limbo,2020,92,98398.0,Ben Sharrock," Recently nominated for two BAFTAÂ® awards for Best British Film and Best Debut by a British Writer, Director or Producer,...","Amir El-Masry, Vikash Bhai, Ola Orebiyi, Kwabena Ansah","A profoundly uplifting portrait of the refugee experience,"
No Sudden Move,2021,92,98931.0,Steven Soderbergh," Set in 1954 Detroit, NO SUDDEN MOVE centers on a group of small-time criminals who are hired to steal what...","Don Cheadle, Benicio Del Toro, David Harbour, Jon Hamm","While it may not be on par with his best crime capers,"
Saint Maud,2019,92,102553.0,Rose Glass," The debut film from writer-director Rose Glass, Saint Maud is a chilling and boldly original vision of faith, madness, and...","Morfydd Clark, Jennifer Ehle, Lily Frazer, Lily Knight","A brilliantly unsettling blend of body horror and psychological thriller,"
Shang-Chi and the Legend of the Ten Rings,2021,92,109480.0,Destin Daniel Cretton," Marvel Studios' ""Shang-Chi and The Legend of The Ten Rings"" stars Simu Liu as Shang-Chi, who must confront the past...","Simu Liu, Awkwafina, Meng'er Zhang, Fala Chen",
Raging Fire,2021,93,93560.0,Benny Chan," Bong (Donnie Yen) is a highly respected hardline cop with a long history of success on dangerous cases. However, his...","Donnie Yen Ji-Dan, Nicholas Tse, Lan Qin, Ray Lui",
Wildland,2020,93,93515.0,Jeanette Nordahl," Following a car accident, which kills her mother, 17-year-old Ida moves in with her estranged aunt and her aunt's grown...","Sandra Guldberg Kampp, Sidse Babett Knudsen, Joachim Fjelstrup, Elliott Crosset Hove",No consensus yet.
The Alpinist,2021,93,93633.0,Peter Mortimer," Marc-AndrÃ© Leclerc climbs alone, far from the limelight. On remote alpine faces, the free-spirited 23-year-old Canadian makes some of the...","Marc-AndrÃ© Leclerc, Brette Harrington, Alex Honnold, Reinhold Messner",
Pray Away,2020,93,93639.0,Kristine Stolakis," Five evangelicals in the 1970s break away and form Exodus International, a group that claims that gay people can become...",,No consensus yet.
Spring Blossom,2020,93,94703.0,Suzanne Lindon," Suzanne (Suzanne Lindon) is sixteen. She is bored with people her own age. From the outside, everything appears lovely in...","Suzanne Lindon, Arnaud Valois, FrÃ©dÃ©ric Pierrot, Florence Viala",No consensus yet.
Martyrs Lane,2021,93,94748.0,Ruth Platt," In this unsettling ghost story, Leah, 10, lives in a large, old house with her family but can't quite work...","Kiera Thompson, Denise Gough, Sienna Sayer, Steven Cree","Well-acted by its young leads,"
Lily Topples The World,2021,93,94884.0,Jeremy Workman, LILY TOPPLES THE WORLD follows 20-year-old sensation Lily Hevesh -- the world's most acclaimed domino toppler and the only girl...,Lily Hevesh,"A layered look at fame in the digital era,"
V/H/S/94,2021,93,94435.0,Chloe Okuno," A Shudder Original Film, V/H/S/94 is the fourth installment in the hit horror anthology franchise and marks the return of...","Anna Hopkins, Christian Lloyd, Kyal Legend, Budi Ross",
"All Light, Everywhere",2021,93,94435.0,Theo Anthony," ALL LIGHT, EVERYWHERE is an exploration of the shared histories of cameras, weapons, policing and justice. As surveillance technologies become...",Keaver Brenai,No consensus yet.
